
{ platform:iOS Simulator, arch:x86_64, id:112E13E3-F2D4-4ADD-B2C9-C08372815839, OS:26.0.1, name:iPhone Air }
{ platform:iOS Simulator, arch:arm64, id:B38E5BF1-5723-4142-A196-D2B374BCFEDB, OS:26.1, name:iPhone Air }
{ platform:iOS Simulator, arch:x86_64, id:B38E5BF1-5723-4142-A196-D2B374BCFEDB, OS:26.1, name:iPhone Air }
{ platform:iOS Simulator, arch:arm64, id:440370EE-E868-4FB7-AEDB-A80F51B086E8, OS:26.2, name:iPhone Air }
{ platform:iOS Simulator, arch:x86_64, id:440370EE-E868-4FB7-AEDB-A80F51B086E8, OS:26.2, name:iPhone Air }
{ platform:iOS Simulator, arch:arm64, id:8A6C256F-4F32-49B0-A115-9B88BAB62ACB, OS:18.5, name:iPhone SE (3rd generation) }
{ platform:iOS Simulator, arch:x86_64, id:8A6C256F-4F32-49B0-A115-9B88BAB62ACB, OS:18.5, name:iPhone SE (3rd generation) }
{ platform:iOS Simulator, arch:arm64, id:A3C00C27-0E60-47C3-9A63-5D32AC7BCF57, OS:18.6, name:iPhone SE (3rd generation) }
{ platform:iOS Simulator, arch:x86_64, id:A3C00C27-0E60-47C3-9A63-5D32AC7BCF57, OS:18.6, name:iPhone SE (3rd generation) }
{ platform:iOS Simulator, arch:arm64, id:FEC24E31-77CD-448F-A626-C527B2FBBDD8, OS:26.0.1, name:iPhone SE (3rd generation) }
{ platform:iOS Simulator, arch:x86_64, id:FEC24E31-77CD-448F-A626-C527B2FBBDD8, OS:26.0.1, name:iPhone SE (3rd generation) }
{ platform:iOS Simulator, arch:arm64, id:21845C08-FA12-4A57-B4BA-E635B55A43F0, OS:26.1, name:iPhone SE (3rd generation) }
{ platform:iOS Simulator, arch:x86_64, id:21845C08-FA12-4A57-B4BA-E635B55A43F0, OS:26.1, name:iPhone SE (3rd generation) }
{ platform:iOS Simulator, arch:arm64, id:7631B9C5-26B8-47DC-AE96-B2D87F4D54B2, OS:26.2, name:iPhone SE (3rd generation) }
{ platform:iOS Simulator, arch:x86_64, id:7631B9C5-26B8-47DC-AE96-B2D87F4D54B2, OS:26.2, name:iPhone SE (3rd generation) }
note: Using codesigning identity override: 
ComputePackagePrebuildTargetDependencyGraph

Prepare packages

CreateBuildRequest

SendProjectDescription

CreateBuildOperation

ComputeTargetDependencyGraph
note: Building targets in dependency order
note: Target dependency graph (41 targets)
